succeed,timeout,drop,total
0,0,0,0
7,0,0,7
7,0,0,7
11,0,0,11
12,0,0,12
16,0,0,16
13,0,0,13
20,0,0,20
21,2,0,23
21,0,0,21
26,1,0,27
15,1,0,16
11,0,0,11
14,1,0,15
10,0,0,10
19,0,0,19
12,0,1,13
10,0,0,10
23,0,0,23
12,0,0,12
17,2,0,19
17,0,0,17
16,0,0,16
14,2,0,16
18,2,0,20
18,0,0,18
14,1,0,15
14,0,1,15
18,0,0,18
12,2,0,14
15,0,0,15
14,2,0,16
16,0,0,16
15,0,0,15
15,0,0,15
14,0,0,14
17,0,0,17
14,0,0,14
17,0,0,17
12,0,0,12
20,1,0,21
14,0,0,14
19,1,0,20
15,0,0,15
19,0,0,19
22,0,0,22
15,0,0,15
11,0,0,11
12,0,0,12
16,0,0,16
14,0,0,14
15,0,0,15
13,0,0,13
25,0,0,25
13,0,0,13
15,0,0,15
17,0,0,17
16,0,0,16
14,0,0,14
13,0,0,13
21,0,0,21
14,0,0,14
20,0,0,20
13,0,0,13
21,0,0,21
13,0,0,13
20,0,0,20
12,0,0,12
17,0,0,17
13,0,0,13
16,0,0,16
18,0,0,18
16,0,0,16
17,2,0,19
17,0,0,17
11,2,0,13
13,0,0,13
14,0,0,14
23,0,0,23
7,0,0,7
16,0,0,16
17,0,0,17
17,0,0,17
18,0,0,18
12,0,0,12
19,0,0,19
16,0,0,16
11,1,0,12
16,0,0,16
14,1,0,15
12,0,0,12
12,0,0,12
19,0,0,19
18,0,0,18
21,0,0,21
22,0,0,22
13,0,0,13
15,1,0,16
15,0,0,15
18,0,0,18
21,0,0,21
11,0,0,11
15,0,0,15
9,0,0,9
18,0,0,18
10,0,0,10
13,0,0,13
21,0,0,21
17,0,0,17
20,1,0,21
20,0,0,20
12,2,0,14
14,0,0,14
10,0,0,10
16,1,0,17
19,0,0,19
15,0,0,15
14,0,0,14
16,0,0,16
16,0,0,16
18,2,0,20
18,0,0,18
8,2,0,10
13,0,0,13
13,0,1,14
12,2,1,15
16,1,0,17
12,0,0,12
18,1,0,19
18,0,0,18
17,0,1,18
15,1,0,16
19,0,0,19
16,0,0,16
18,0,1,19
16,1,0,17
19,0,0,19
14,0,0,14
16,0,0,16
15,1,0,16
12,0,0,12
15,0,0,15
16,0,0,16
16,2,0,18
17,0,0,17
14,0,0,14
12,2,0,14
17,0,0,17
13,0,0,13
21,0,0,21
16,0,0,16
17,0,0,17
17,0,0,17
22,0,0,22
14,0,0,14
18,0,0,18
14,0,0,14
8,0,0,8
11,0,0,11
4,0,0,4
23,0,0,23
15,0,0,15
19,0,0,19
22,0,0,22
21,0,0,21
18,1,0,19
15,0,0,15
16,1,0,17
14,0,0,14
14,0,0,14
13,1,0,14
16,0,0,16
14,1,0,15
21,0,0,21
16,0,0,16
12,0,0,12
19,0,0,19
17,1,0,18
16,0,0,16
11,0,0,11
9,0,0,9
20,0,0,20
16,0,0,16
18,0,0,18
20,0,0,20
15,0,0,15
18,0,0,18
19,0,0,19
14,0,0,14
17,0,0,17
9,0,0,9
15,0,0,15
19,0,0,19
19,0,0,19
19,0,0,19
12,0,0,12
16,0,0,16
17,0,0,17
15,0,0,15
10,0,0,10
14,0,0,14
9,0,0,9
9,0,0,9
6,0,0,6
2,0,0,2
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
