sdxlltn,sd35turbo,sd35med,sd35large
14,7,6,6
18,13,10,8
17,14,17,7
18,13,12,12
0,20,6,0
0,17,4,0
0,19,2,0
0,18,5,0
0,17,4,0
0,19,1,0
0,18,1,0
0,17,2,0
0,18,0,0
0,18,2,0
0,13,9,0
0,19,8,0
0,18,8,0
0,18,4,0
0,18,11,0
0,18,6,0
0,18,7,0
0,18,8,0
0,17,6,0
0,19,4,0
0,18,5,0
0,18,13,0
0,18,7,0
0,18,7,0
0,17,3,0
0,18,8,0
0,18,7,0
0,18,6,0
0,18,7,0
0,18,7,0
0,18,5,0
0,18,5,0
0,18,10,0
0,17,6,0
0,19,5,0
0,17,12,0
0,19,7,0
0,18,6,0
0,18,6,0
0,18,9,0
0,19,8,0
0,17,9,0
0,19,6,0
0,17,4,0
0,18,4,0
0,11,11,0
0,17,7,0
0,18,8,0
0,18,6,0
0,18,7,0
0,18,5,0
0,18,9,0
0,18,5,0
0,18,5,0
0,17,7,0
0,16,7,0
0,18,7,0
0,18,10,0
0,18,6,0
0,17,5,0
0,18,6,0
0,18,9,0
0,18,7,0
0,18,7,0
0,18,4,0
0,18,7,0
0,18,10,0
0,18,7,0
0,18,12,0
0,18,8,0
0,18,9,0
0,18,2,0
0,18,11,0
0,18,5,0
0,18,5,0
0,18,6,0
0,18,5,0
0,18,7,0
0,17,6,0
0,18,3,0
0,19,9,0
0,18,8,0
0,18,8,0
0,17,8,0
0,18,10,0
0,18,6,0
0,18,8,0
0,18,9,0
0,18,12,0
0,18,9,0
0,18,7,0
0,18,5,0
0,18,7,0
0,17,3,0
0,19,11,0
0,18,5,0
0,18,5,0
0,18,9,0
0,18,10,0
0,18,6,0
0,18,6,0
0,18,7,0
0,17,6,0
0,18,5,0
0,18,5,0
0,12,12,0
0,16,8,0
0,18,5,0
0,18,6,0
0,18,6,0
0,18,11,0
0,17,5,0
0,19,5,0
0,18,6,0
0,18,3,0
0,13,9,0
0,19,8,0
0,18,8,0
0,18,7,0
0,18,9,0
0,17,11,0
0,18,8,0
0,18,4,0
0,18,10,0
0,17,10,0
0,19,1,0
0,18,7,0
0,18,11,0
0,18,1,0
0,17,4,0
0,14,11,0
0,17,8,0
0,17,5,0
0,19,6,0
0,18,5,0
0,14,12,0
0,18,3,0
0,18,4,0
0,17,7,0
0,18,4,0
0,19,4,0
0,17,5,0
0,19,14,0
0,18,15,0
0,18,9,0
0,18,5,0
0,17,6,0
0,18,7,0
0,19,6,0
0,17,6,0
0,19,5,0
0,17,6,0
0,18,4,0
0,19,3,0
0,17,7,0
0,17,7,0
0,18,7,0
0,17,9,0
0,18,6,0
0,18,5,0
0,18,7,0
0,17,5,0
0,18,6,0
0,19,7,0
0,18,6,0
0,18,11,0
0,18,7,0
0,18,10,0
0,18,4,0
0,18,8,0
0,17,8,0
0,19,7,0
0,17,13,0
0,18,8,0
0,18,7,0
0,20,4,0
0,17,4,0
0,18,9,0
0,19,3,0
0,17,2,0
0,18,5,0
0,19,6,0
0,17,3,0
0,18,4,0
0,17,3,0
0,16,8,0
0,18,7,0
0,18,9,0
0,18,8,0
0,18,9,0
0,17,11,0
0,17,8,0
0,19,8,0
0,19,8,0
0,17,6,0
0,20,3,0
0,15,7,0
0,0,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
