succeed,timeout,drop,total
0,0,0,0
4,0,0,4
0,0,0,0
2,0,0,2
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,2
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,1
2,0,0,2
3,0,0,3
1,0,0,1
1,0,0,1
2,0,0,2
3,0,0,3
3,0,0,3
3,0,0,3
0,0,0,0
1,0,0,1
7,0,0,7
5,0,0,5
5,0,0,5
6,1,0,7
5,1,0,6
3,0,0,3
6,1,0,7
8,0,0,8
4,0,0,4
1,0,0,1
9,0,0,9
4,0,0,4
7,0,0,7
4,0,0,4
9,0,0,9
5,0,0,5
3,0,0,3
3,0,0,3
4,0,0,4
6,0,0,6
4,0,0,4
6,0,0,6
3,0,0,3
3,0,0,3
2,0,0,2
2,0,0,2
2,0,0,2
5,0,0,5
3,0,0,3
3,0,0,3
3,0,0,3
4,0,0,4
3,0,0,3
5,0,0,5
3,0,0,3
5,0,0,5
5,0,0,5
8,0,0,8
5,0,0,5
8,0,0,8
9,0,0,9
14,0,0,14
13,0,0,13
9,0,0,9
12,0,0,12
5,0,0,5
5,0,0,5
9,0,0,9
5,0,0,5
9,0,0,9
10,0,0,10
7,0,0,7
10,0,0,10
5,0,0,5
10,0,0,10
10,0,0,10
6,0,0,6
11,0,0,11
7,0,0,7
10,0,0,10
11,0,0,11
12,0,0,12
10,0,0,10
9,0,0,9
9,0,0,9
3,0,0,3
18,0,0,18
9,0,0,9
10,0,0,10
13,0,0,13
8,0,0,8
15,4,0,19
11,1,0,12
18,2,0,20
8,0,0,8
12,0,0,12
9,0,0,9
11,0,0,11
13,0,0,13
8,0,0,8
12,0,0,12
13,0,0,13
7,0,0,7
14,0,0,14
15,0,0,15
14,0,0,14
13,0,0,13
10,0,0,10
14,0,0,14
10,1,0,11
14,0,0,14
16,0,0,16
15,0,0,15
8,1,0,9
14,0,0,14
13,0,0,13
12,0,0,12
17,0,0,17
14,0,0,14
9,0,0,9
19,0,0,19
13,2,0,15
20,0,0,20
14,2,0,16
13,0,0,13
17,0,0,17
9,2,0,11
10,0,0,10
15,2,0,17
15,0,0,15
13,0,0,13
15,0,0,15
17,0,0,17
21,0,0,21
20,0,0,20
12,0,0,12
13,0,0,13
8,0,0,8
17,0,0,17
14,0,0,14
17,0,0,17
13,0,0,13
10,0,0,10
16,0,0,16
9,0,0,9
13,0,0,13
14,0,0,14
12,0,0,12
16,0,0,16
14,0,0,14
22,1,0,23
12,0,0,12
18,0,0,18
15,0,0,15
18,0,0,18
14,0,0,14
16,0,0,16
14,0,0,14
16,0,0,16
18,0,0,18
11,0,0,11
13,0,0,13
18,2,0,20
21,0,0,21
11,0,0,11
14,2,0,16
10,0,0,10
21,2,0,23
20,0,0,20
19,2,0,21
17,0,0,17
16,0,0,16
16,1,0,17
14,0,0,14
7,2,0,9
17,0,0,17
21,0,0,21
17,2,0,19
17,0,0,17
18,2,0,20
15,2,0,17
20,2,0,22
15,0,0,15
19,0,0,19
16,2,0,18
23,0,0,23
23,1,0,24
18,0,0,18
23,0,0,23
21,1,0,22
23,0,0,23
18,2,0,20
23,0,0,23
13,2,0,15
29,0,0,29
20,0,0,20
25,0,0,25
25,0,0,25
22,0,0,22
25,0,0,25
16,2,0,18
25,0,0,25
24,0,0,24
22,2,0,24
23,0,0,23
17,0,0,17
24,2,0,26
21,0,0,21
21,1,0,22
30,0,0,30
21,0,0,21
28,1,0,29
23,0,0,23
22,0,0,22
21,0,0,21
18,0,0,18
17,0,0,17
21,0,0,21
17,0,0,17
27,0,0,27
25,0,0,25
25,0,0,25
21,0,0,21
24,0,0,24
23,0,0,23
17,2,0,19
22,0,0,22
21,1,0,22
26,0,0,26
27,0,0,27
31,1,0,32
26,0,0,26
22,1,0,23
18,0,0,18
14,0,0,14
16,0,0,16
20,0,0,20
18,0,0,18
21,0,0,21
23,0,0,23
31,0,0,31
24,1,0,25
18,0,0,18
22,0,0,22
14,0,0,14
16,0,0,16
19,0,0,19
21,0,0,21
10,0,0,10
27,0,0,27
15,0,0,15
30,0,0,30
17,0,0,17
24,0,0,24
23,0,0,23
28,0,0,28
19,0,0,19
25,0,0,25
20,0,0,20
17,0,0,17
14,0,0,14
16,0,0,16
21,0,0,21
17,0,0,17
19,0,0,19
23,0,0,23
27,1,0,28
20,1,0,21
20,1,0,21
23,0,0,23
16,0,0,16
18,1,0,19
26,0,0,26
21,0,0,21
11,0,0,11
17,0,0,17
26,0,0,26
16,0,0,16
18,0,0,18
17,0,0,17
29,0,0,29
22,0,0,22
23,0,0,23
19,2,0,21
14,0,0,14
16,2,0,18
16,0,0,16
16,1,0,17
14,0,0,14
14,0,0,14
18,1,0,19
20,0,0,20
21,0,0,21
17,0,0,17
9,0,0,9
13,0,0,13
13,0,0,13
15,0,0,15
9,0,0,9
13,0,0,13
16,0,0,16
14,0,0,14
8,1,0,9
15,0,0,15
13,0,0,13
13,0,0,13
19,0,0,19
11,0,0,11
19,0,0,19
15,0,0,15
8,0,0,8
10,0,0,10
12,0,0,12
12,0,0,12
8,0,0,8
12,0,0,12
9,0,0,9
14,0,0,14
9,0,0,9
13,0,0,13
6,0,0,6
12,0,0,12
8,0,0,8
10,0,0,10
7,0,0,7
5,0,0,5
5,0,0,5
6,0,0,6
10,0,0,10
3,0,0,3
13,0,0,13
5,0,0,5
7,0,0,7
7,0,0,7
5,0,0,5
4,0,0,4
7,0,0,7
2,0,0,2
8,0,0,8
6,0,0,6
4,0,0,4
7,0,0,7
4,0,0,4
6,0,0,6
8,0,0,8
1,0,0,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
